WORKED AS
3rd Position - GreenHacks
Deep Learning
ANDROID APPLICATION DEVOLOPER & JAVA PROGRAMMER
AVP - Head of Executive Recruitment & Workforce Strategy
AVP
Absolutely Crushing It
Accociate
Adjunct Faculty
Administrador de redes
Administrative Assistant
Administrative Supervisor
Adviser
WISTEM
Aircraftman
Android Developer
Android Internship
Angel Investor
Assistant Bussiness Developer
"Assistant Manager, Brand Promotion and Marketing"
Associate - Cloud Talent Engagement
Australian Working Holiday Visa (Lead Painter Construction Site)
Author
"Author of Ebook ""Kombaat B.E."""
Auxiliar administrativo
Azure Cloud and DevOps
Barrister
Blog
Bug Bounty hunter
Bussiness Vice-Coordinator
COO
CRIO Winter Of Doing (CWoD) - Externship
CTF InfoSec
CTF Player
Chancellor
Chaplain Candidate Military
Chemical
Biological
"Chief Innovation Officer, Head Of AI"
Chief Investment Officer
Chief Revenue Officer
Co-Editor-in-Chief
Leading
Co-Investigator
Contracting
Convenor
Country Manager
Crowdfunding
Cyber Crime Investigator
DRR-Young Leaders Fellow
DataLab Asociado
Datawarehouse
Dean
Delegate at Asia Pacific Youth Exchange
Deputy Manager
Desarrollador de software
Desenhista CAD CAM
Desenhista Cadista
Digital Media Engagement (Remote
China
District Programme Coordinator
District Supervisor
Diversity Chair
ELT
Engagement Manager
Entern
Entrepreneurship
Escrevente
Estagiária do Juizado Especial Criminal e da Fazenda Pública
Estagiário
Estudante Meio Período
Facilitator
Faculty Member
"Faculty, Programmer"
Founding Director
Founding Partner
Freelance Author
Fresher
Full-stack Developer 
GSSoC 2021
Games Administration Officer
Gerente de Redes
GirlScript Winter of Contributing
Global Manager - Procurement (Product Planning & Management)
Head of Branding and Promotion
Human Resource Specialist (Military)
ITSR
Image & Video Annotator
Ingeniero de Software Senior
Ingeniero de datos
Insurance Agent
Interest Rate Derivatives
Intern for cloud DB adminstration
"Intern in Process Planning and Management, Automation"
Introducing Broker
Inventor
Investment Strategist
Investor
Ionic
Jefe de equipo de desarrollo
Joint treasurer
Jt. treasurer
Learning Specialist
Liaison Officer
Lider de Equipe
Lider de Proyecto y Desarrollador
Livelihood Officer
"Lyricist,  Vocalist"
MEAL Officer-Start
MEAL Specialist
MI System
MI System DevOps
MS Dessertation
MSP 2017
Machine Learning  and Artifical Intelligence tools and technologies
Microsoft Power BI Practice Lead.
Manim Animator
Manufaturing Aids Software Tools Intern
Marketing project manager
"Marketing, Host & Laborer"
Member- Public Liaison
Mentee
Metaverse Wizard
Microsoft Azure developer
Moderator
Monitor
Accountability and Learning Manager
North America Leader
Online Fashion Retailer
Operador Geral Meio Período
Operation - User Administration - Network Support
"Paid Intern for US healthcare Course and DB administration and MS,  SQL OLAP technology"
Participant
Participant at E-Summit Productathon
IIT Roorkee
Participant in the IT Security Certification Program (CPITS)
Partnership Manager
Pesquisador de Direito Ambiental
Pharmacist 7th level
Photo Editor
Photographer
Power Programmer
Practice Director - North America
Problem Solver
Process Associate
Process Development Engineer
"Procurement ,  Logistics ,  Document Controller"
Procurement Officer
Procurement Specialist
Profesor de chino
Profesor de español conversación
Profesor de la Maestría en Educación Lingüística
Quora Army
Remote Internship Program
Resources Manager
Retail Employee
Retail Store Associate
Revenue Manager
Revenue Operations
Reviewer
Clearing
Settlement & Collateral
Resettlement and Sustainable Development Specialist
Sakura Science Exchange Program
Salesperson
Secretary
RAC
Shell Scripting)
Senior Partnership Officer
Speaker
Sr. Analyst
Cloud
Supervisora Técnica
Sustainable Livelihood Specialist
System
Technology Innovation Manager
Telemarketer
"The ""WOW"" Factor"
Trader
Trainner
Transcriptionist
Treasurer
Técnico Projetista
Técnico de TI
Técnico de infraestrutura
Técnico em Informática
Various projects
Ventures
Visiting AI Project Supervisor
Visiting Faculty
Water Resources Advisor
Worked on Authentication System
Workshop Host
Yippee Kayyee
Young Innovator
Youtube
Youtuber
affiliate
assistant to the country director
de Chino
Arte y Lengua
mWarrior
Banking Lawyer
Big Data Engineer - Lloyds Banking Group (UK)
Biomedical Engineer
Biomedical technician
DG INSTALLATION
DSP Engineer
Electrical Engineer - Sales and Installation
Engineer- Sales & Installation Execution
Escalations Engineer
Fiber optics engineer
Hardware Engineer
Hardware Technician
Hardware and Networking Intern
Helpdesk Intern
IT Helpdesk Engineer
IT Telecom Engineer(UCOMM)
Internee
Internee Blockchain Engineer
Laboratory Assistant
Laboratory Engineer
MCR Engineer
MLOps Engineer
Mechanical Engineer
Mechanical Project Engineer
Networking
OMC Engineer
OSS Engineer
Optical fiber system
Optical fiber system trainee
Sales & Marketing Engineer (Otis Elevator Nepal)
Senior Electrical Engineer - Transmission Line
Software Engineer
Sofware Engineer
Specialist
Sub Engineer
Sub-engineer
Team leader - Electrical Transmission Line  at NEA Engineering Company Ltd.
Telecom Engineer
Telecom Infrastructure Analyst
Transmission Engineer
full mechanical designer
Artificial Intelligence Architect
Artificial Intelligence Consultant
Artificial Intelligence Engineer
Business Intelligence
Business Intelligence Consultant
Business Intelligence Developer
Business Intelligence Engineer
Business Intelligence Manager
"Business Intelligence, Data Warehousing Consultant"
Data Warehouse and Business Intelligence Architect - Benign Hematology Blood Management
Data Warehouse and Business Intelligence Consultant
Data Warehouse and Business Intelligence Lead Architect
Data Warehouse and Business Intelligence Manager
Data Warehouse and Business Intelligence Technical Head
Database and Business Intelligence Consultant
Business Intelligence and Analytics Specialist
Director of Business Intelligence
"IT Director ,  Business Intelligence Consultant"
Project Manager & Senior Business Intelligence
Project Manager & Senior Business Intelligence Architect
Senior Business Intelligence Consultant
