LANGUAGE
Allemand
Anglès
anglais
Arabe
Arabic
Assamese
Bahasa Indonesia
Bangla
Bengali
Bhojpuri
Cantonese
Chinese
Chino
Deutsch
Dutch
Englisch
English
Español
Espanhol
Finnish
Français
French
German
Gujarati
Gurung
hendi
Hindi
hindi
Telugu
Hokkien
Indonesian
Inglés
Ingles
Italian
Italiano
Japanese
Japonés
Kannada
Korean
Kutchi
Magar Dhoot
Maithili
Malay
Mandarin
Marathi
Nepal Bhasa
Nepalese
Nepali
nepali
Newari
Persian
Polish
Portugese
Portugués
Portuguese
Punjabi
punjabi
Russian
Russisch
Somali
Spanish
spanish
Swahili
Tamang
Tamil
Telugu
Tharu
Tibetan
Urdu
Vietnamita
